verbatim	code	source
0	0	MF 180621
00	0	MF 180621
000	0	MF 180621
000000000000000	0	MF 180621
0000000000000000	0	MF 180621
00000000000000000	0	MF 180621
000000000000000000	0	MF 180621
00000000000000000000	0	MF 180621
00000000000000000000000	0	MF 180621
0000	0	MF 180621
00000	0	MF 180621
0000000000000	0	MF 180621
0000000000000000000	0	MF 180621
1	0	MF 180621
2	0	MF 180621
02	0	MF 180621
3	0	MF 180621
4	0	MF 180621
5	0	MF 180621
6	0	MF 180621
7	0	MF 180621
8	0	MF 180621
9	0	MF 180621
10	0	MF 180621
11	0	MF 180621
12	0	MF 180621
13	0	MF 180621
14	0	MF 180621
15	0	MF 180621
16	0	MF 180621
17	0	MF 180621
18	0	MF 180621
19	0	MF 180621
20	0	MF 180621
21	0	MF 180621
22	0	MF 180621
23	0	MF 180621
24	0	MF 180621
25	0	MF 180621
26	0	MF 180621
27	0	MF 180621
28	0	MF 180621
29	0	MF 180621
30	0	MF 180621
31	0	MF 180621
32	0	MF 180621
33	0	MF 180621
34	0	MF 180621
35	0	MF 180621
36	0	MF 180621
37	0	MF 180621
38	0	MF 180621
39	0	MF 180621
40	0	MF 180621
41	0	MF 180621
42	0	MF 180621
43	0	MF 180621
44	0	MF 180621
45	0	MF 180621
46	0	MF 180621
47	0	MF 180621
48	0	MF 180621
49	0	MF 180621
50	0	MF 180621
51	0	MF 180621
52	0	MF 180621
53	0	MF 180621
54	0	MF 180621
55	0	MF 180621
56	0	MF 180621
57	0	MF 180621
58	0	MF 180621
59	0	MF 180621
60	0	MF 180621
61	0	MF 180621
62	0	MF 180621
63	0	MF 180621
65	0	MF 180621
66	0	MF 180621
67	0	MF 180621
68	0	MF 180621
69	0	MF 180621
70	0	MF 180621
71	0	MF 180621
72	0	MF 180621
73	0	MF 180621
74	0	MF 180621
76	0	MF 180621
77	0	MF 180621
78	0	MF 180621
79	0	MF 180621
80	0	MF 180621
83	0	MF 180621
84	0	MF 180621
86	0	MF 180621
87	0	MF 180621
98	0	MF 180621
99	0	MF 180621
104	0	MF 180621
105	0	MF 180621
106	0	MF 180621
111	0	MF 180621
112	0	MF 180621
121	0	MF 180621
122	0	MF 180621
123	0	MF 180621
125	0	MF 180621
138	0	MF 180621
148	0	MF 180621
161	0	MF 180621
178	0	MF 180621
187	0	MF 180621
213	0	MF 180621
222	0	MF 180621
231	0	MF 180621
233	0	MF 180621
258	0	MF 180621
321	0	MF 180621
333	0	MF 180621
345	0	MF 180621
346	0	MF 180621
347	0	MF 180621
384	0	MF 180621
418	0	MF 180621
